Sex,Year,Age,People
1,1900,90,15164
1,1900,85,44008
1,1900,80,127435
1,1900,75,268211
1,1900,70,454747
1,1900,65,672663
1,1900,60,916571
1,1900,55,1161908
1,1900,50,1571038
1,1900,45,1868413
1,1900,40,2261070
1,1900,35,2633883
1,1900,30,2918964
1,1900,25,3389280
1,1900,20,3694038
1,1900,15,3774846
1,1900,10,4057669
1,1900,5,4465783
1,1900,0,4619544
2,1900,90,20093
2,1900,85,48614
2,1900,80,132449
2,1900,75,265879
2,1900,70,440007
2,1900,65,640212
2,1900,60,887508
2,1900,55,1064632
2,1900,50,1411981
2,1900,45,1648025
2,1900,40,2004987
2,1900,35,2347737
2,1900,30,2665174
2,1900,25,3236056
2,1900,20,3751061
2,1900,15,3801743
2,1900,10,4001749
2,1900,5,4390483
2,1900,0,4589196
